Tx,Ty,Tz,Tx,Ty,Tz
-412.905,-8.817,-1885.988,-425.34,19.748,-1882.24
-413.037,-9.145,-1885.809,-425.463,19.412,-1881.99
-413.161,-9.448,-1885.61,-425.607,19.099,-1881.768
-413.331,-9.736,-1885.424,-425.805,18.805,-1881.578
-413.55,-10,-1885.312,-426.05,18.522,-1881.457
-413.818,-10.231,-1885.351,-426.348,18.277,-1881.507
-414.097,-10.404,-1885.518,-426.666,18.094,-1881.703
-414.417,-10.572,-1885.787,-427.01,17.931,-1882.008
-414.8,-10.804,-1886.036,-427.447,17.691,-1882.357
-415.232,-11.134,-1886.254,-427.897,17.348,-1882.58
-415.705,-11.592,-1886.464,-428.407,16.875,-1882.77
-416.203,-12.199,-1886.546,-428.941,16.237,-1882.803
-416.718,-12.92,-1886.503,-429.515,15.486,-1882.738
-417.322,-13.715,-1886.453,-430.16,14.666,-1882.601
-417.952,-14.553,-1886.35,-430.856,13.788,-1882.459
-418.57,-15.376,-1886.226,-431.54,12.925,-1882.29
-419.096,-16.17,-1886.1,-432.12,12.107,-1882.153
-419.587,-16.931,-1885.997,-432.681,11.312,-1882.073
-420.047,-17.663,-1885.869,-433.186,10.539,-1881.835
-420.482,-18.339,-1885.779,-433.669,9.848,-1881.677
-420.874,-18.964,-1885.601,-434.124,9.195,-1881.596
-421.277,-19.581,-1885.555,-434.557,8.565,-1881.451
-421.652,-20.189,-1885.436,-434.968,7.941,-1881.356
-422.023,-20.813,-1885.269,-435.388,7.288,-1881.19
-422.465,-21.458,-1885.167,-435.871,6.613,-1881.055
-422.917,-22.123,-1885.007,-436.401,5.921,-1880.975
-423.35,-22.789,-1884.889,-436.873,5.225,-1880.795
-423.708,-23.431,-1884.802,-437.251,4.558,-1880.557
-423.984,-24.02,-1884.57,-437.589,3.96,-1880.455
-424.234,-24.558,-1884.404,-437.846,3.402,-1880.182
-424.44,-25.03,-1884.197,-438.084,2.913,-1880.006
-424.626,-25.456,-1884.015,-438.26,2.477,-1879.723
-424.809,-25.875,-1883.877,-438.492,2.046,-1879.616
-425.012,-26.281,-1883.738,-438.713,1.621,-1879.422
-425.212,-26.669,-1883.59,-438.94,1.222,-1879.305
-425.457,-27.051,-1883.528,-439.181,0.813,-1879.138
-425.66,-27.423,-1883.441,-439.396,0.439,-1878.973
-425.879,-27.816,-1883.302,-439.634,0.031,-1878.826
-426.144,-28.223,-1883.272,-439.931,-0.404,-1878.745
-426.41,-28.639,-1883.136,-440.244,-0.827,-1878.684
-426.718,-29.059,-1883.084,-440.555,-1.263,-1878.573
-427.053,-29.529,-1883.107,-440.92,-1.743,-1878.555
-427.412,-30.057,-1883.062,-441.328,-2.301,-1878.534
-427.799,-30.64,-1883.025,-441.739,-2.9,-1878.516
-428.247,-31.296,-1883.032,-442.224,-3.578,-1878.44
-428.723,-32.045,-1882.902,-442.762,-4.359,-1878.371
-429.219,-32.862,-1882.819,-443.321,-5.21,-1878.259
-429.679,-33.719,-1882.636,-443.825,-6.097,-1878.055
-430.146,-34.65,-1882.461,-444.349,-7.055,-1877.829
-430.61,-35.661,-1882.137,-444.883,-8.106,-1877.499
-431.075,-36.7,-1881.79,-445.421,-9.191,-1877.11
-431.534,-37.759,-1881.473,-445.938,-10.288,-1876.73
-431.94,-38.8,-1881.132,-446.415,-11.382,-1876.323
-432.297,-39.831,-1880.737,-446.814,-12.442,-1875.822
-432.608,-40.804,-1880.35,-447.159,-13.468,-1875.338
-432.803,-41.699,-1879.827,-447.42,-14.389,-1874.802
-432.932,-42.492,-1879.325,-447.573,-15.205,-1874.221
-432.988,-43.175,-1878.809,-447.651,-15.904,-1873.711
-432.964,-43.843,-1878.245,-447.63,-16.588,-1873.051
-432.918,-44.51,-1877.671,-447.592,-17.277,-1872.412
-432.894,-45.211,-1877.057,-447.604,-18.014,-1871.757
-432.872,-45.945,-1876.343,-447.594,-18.766,-1871
-432.907,-46.732,-1875.647,-447.694,-19.576,-1870.308
-432.969,-47.56,-1874.998,-447.794,-20.445,-1869.576
-433.082,-48.41,-1874.338,-447.956,-21.331,-1868.925
-433.27,-49.3,-1873.792,-448.192,-22.256,-1868.354
-433.529,-50.22,-1873.299,-448.469,-23.201,-1867.704
-433.803,-51.126,-1872.795,-448.805,-24.149,-1867.235
-434.118,-52.031,-1872.475,-449.139,-25.081,-1866.788
-434.412,-52.925,-1872.146,-449.482,-26.011,-1866.409
-434.754,-53.801,-1871.926,-449.848,-26.929,-1866.065
-435.098,-54.653,-1871.722,-450.23,-27.814,-1865.786
-435.474,-55.494,-1871.509,-450.639,-28.687,-1865.499
