Tx1,Ty1,Tz1,Tx2,Ty2,Tz2
-215.32,120.696,-2006.735,-229.006,147.477,-1998.177
-214.65,121.229,-2006.929,-228.165,148.13,-1998.509
-214.028,121.725,-2007.211,-227.391,148.741,-1998.846
-213.459,122.151,-2007.568,-226.672,149.27,-1999.326
-212.909,122.554,-2008.047,-225.979,149.785,-1999.929
-212.305,122.994,-2008.635,-225.248,150.337,-2000.68
-211.643,123.507,-2009.25,-224.414,150.962,-2001.428
-210.919,124.052,-2009.858,-223.506,151.633,-2002.201
-210.199,124.623,-2010.445,-222.611,152.338,-2002.974
-209.576,125.108,-2010.911,-221.834,152.923,-2003.532
-209.033,125.554,-2011.249,-221.152,153.457,-2004.052
-208.44,125.99,-2011.535,-220.409,153.983,-2004.368
-207.736,126.503,-2011.737,-219.555,154.611,-2004.867
-206.98,127.064,-2012.044,-218.64,155.29,-2005.296
-206.416,127.527,-2012.127,-217.912,155.837,-2005.492
-206.283,127.686,-2011.895,-217.766,155.996,-2005.249
-206.331,127.696,-2011.612,-217.846,155.993,-2004.908
-206.277,127.692,-2011.415,-217.793,155.986,-2004.693
-206.133,127.69,-2011.244,-217.612,155.991,-2004.514
-206.04,127.646,-2011.124,-217.484,155.956,-2004.373
-206.155,127.473,-2010.897,-217.62,155.771,-2004.123
-206.559,127.123,-2010.477,-218.108,155.354,-2003.616
-207.205,126.638,-2010.01,-218.918,154.766,-2002.919
-208.009,126.041,-2009.459,-219.939,154.025,-2002.242
-208.835,125.402,-2008.939,-220.993,153.262,-2001.587
-209.641,124.756,-2008.466,-222.03,152.492,-2001.064
-210.559,124.024,-2007.915,-223.172,151.601,-2000.287
-211.581,123.174,-2007.119,-224.453,150.58,-1999.212
-212.714,122.211,-2006.062,-225.85,149.38,-1997.789
-213.879,121.156,-2005.022,-227.283,148.09,-1996.441
-215.111,120.037,-2004.001,-228.809,146.746,-1995.225
-216.459,118.74,-2002.902,-230.485,145.17,-1993.816
-217.793,117.395,-2001.879,-232.185,143.572,-1992.667
-219.079,116.085,-2001.051,-233.783,141.997,-1991.557
-220.33,114.795,-2000.301,-235.347,140.454,-1990.597
-221.576,113.471,-1999.546,-236.941,138.88,-1989.719
-222.756,112.198,-1998.925,-238.432,137.354,-1988.992
-223.862,110.999,-1998.464,-239.818,135.924,-1988.305
-224.904,109.867,-1997.996,-241.126,134.561,-1987.687
-225.923,108.732,-1997.478,-242.402,133.211,-1987.08
-226.901,107.596,-1996.937,-243.643,131.838,-1986.448
-227.737,106.543,-1996.484,-244.713,130.591,-1985.92
-228.481,105.559,-1996.005,-245.651,129.431,-1985.42
-229.206,104.592,-1995.535,-246.552,128.271,-1984.792
-229.961,103.589,-1995.054,-247.5,127.069,-1984.166
-230.682,102.569,-1994.566,-248.396,125.873,-1983.565
-231.355,101.556,-1994.024,-249.244,124.677,-1982.978
-232.009,100.55,-1993.589,-250.04,123.491,-1982.354
-232.695,99.541,-1993.115,-250.897,122.272,-1981.763
-233.496,98.431,-1992.603,-251.876,120.924,-1981.042
-234.496,97.08,-1991.798,-253.138,119.251,-1979.965
-235.531,95.567,-1990.848,-254.446,117.312,-1978.735
-236.329,94.082,-1989.701,-255.448,115.449,-1977.237
-236.902,92.831,-1988.539,-256.166,113.859,-1975.758
-237.343,91.736,-1987.337,-256.706,112.459,-1974.188
-237.668,90.764,-1986.119,-257.077,111.217,-1972.614
-237.876,89.951,-1984.968,-257.339,110.205,-1971.212
-238.099,89.2,-1984.155,-257.599,109.271,-1970.149
-238.402,88.443,-1983.53,-257.992,108.349,-1969.417
-238.807,87.723,-1983.233,-258.501,107.47,-1969.036
-239.273,87.092,-1983.236,-259.081,106.71,-1968.985
-239.73,86.539,-1983.3,-259.599,106.012,-1969.005
-240.233,86.001,-1983.467,-260.207,105.333,-1969.09
-240.687,85.467,-1983.602,-260.726,104.682,-1969.093
-241.137,84.878,-1983.579,-261.285,104.016,-1969.177
-241.512,84.224,-1983.304,-261.748,103.289,-1968.969
-241.86,83.472,-1982.983,-262.186,102.462,-1968.65
-242.17,82.69,-1982.651,-262.606,101.602,-1968.421
-242.5,81.901,-1982.406,-263.039,100.745,-1968.27
-242.901,81.08,-1982.281,-263.501,99.784,-1968.072
-243.399,80.269,-1982.319,-264.066,98.821,-1967.997
-243.978,79.485,-1982.565,-264.707,97.894,-1968.094
-244.734,78.57,-1982.848,-265.568,96.792,-1968.275
-245.583,77.487,-1983.073,-266.487,95.462,-1968.33
-246.481,76.344,-1983.293,-267.472,94.091,-1968.329
-247.393,75.176,-1983.492,-268.491,92.687,-1968.416
-248.331,73.999,-1983.764,-269.517,91.293,-1968.567
-249.302,72.707,-1983.93,-270.566,89.767,-1968.564
-250.27,71.401,-1984.262,-271.604,88.286,-1968.802
-251.253,70.075,-1984.552,-272.699,86.804,-1969.134
-252.265,68.746,-1984.958,-273.822,85.288,-1969.492
-253.232,67.502,-1985.474,-274.931,83.891,-1970.058
-254.156,66.302,-1986.045,-276.032,82.523,-1970.659
-255.017,65.185,-1986.567,-277.091,81.207,-1971.259
-255.755,64.286,-1987.089,-277.979,80.146,-1971.75
-256.376,63.463,-1987.488,-278.717,79.175,-1972.122
-256.873,62.768,-1987.654,-279.363,78.312,-1972.404
-257.251,62.318,-1987.937,-279.832,77.765,-1972.635
-257.456,62.161,-1988.029,-280.187,77.583,-1972.98
-257.498,62.192,-1987.996,-280.294,77.643,-1973.018
-257.344,62.432,-1987.704,-280.158,77.88,-1972.79
-256.942,63.08,-1987.301,-279.694,78.658,-1972.448
-256.274,64.093,-1986.754,-278.876,79.885,-1971.895
-255.471,65.257,-1986.134,-277.887,81.281,-1971.292
-254.634,66.499,-1985.545,-276.824,82.754,-1970.652
-253.802,67.861,-1985.134,-275.753,84.352,-1970.201
-252.97,69.359,-1984.922,-274.686,86.129,-1969.899
-252.175,70.967,-1984.939,-273.668,88.01,-1969.865
-251.363,72.604,-1985.034,-272.622,89.931,-1969.882
-250.584,74.152,-1985.163,-271.664,91.761,-1970.124
-249.851,75.54,-1985.262,-270.747,93.417,-1970.315
-249.043,76.936,-1985.426,-269.759,95.052,-1970.516
-248.077,78.62,-1985.659,-268.565,97.031,-1970.864
-246.865,80.682,-1985.952,-267.022,99.474,-1971.242
-245.627,82.846,-1986.197,-265.399,102.078,-1971.475
-244.57,84.621,-1986.209,-263.995,104.165,-1971.36
-243.517,86.216,-1986.029,-262.646,106.031,-1971.144
-242.335,87.952,-1985.952,-261.139,108.131,-1971.166
-241.146,89.738,-1986.111,-259.647,110.271,-1971.501
-239.878,91.733,-1986.675,-258.034,112.638,-1972.156
-238.575,93.943,-1987.572,-256.37,115.306,-1973.304
-237.727,95.702,-1988.606,-255.25,117.429,-1974.512
-237.382,96.706,-1989.529,-254.9,118.525,-1975.511
-236.997,97.696,-1990.545,-254.42,119.708,-1976.717
-236.48,98.801,-1991.658,-253.821,121.006,-1978.05
-235.819,100.039,-1992.771,-253.059,122.473,-1979.435
